[2020-06-22 14:18:14:0977] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:19:16:0485] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:16:0985] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:16:0985] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:19:16:0985] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:19:17:0486] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:17:0987] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:17:0987] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[58403], HostIp[c0a8017f], HostPort[58403]
[2020-06-22 14:19:17:0987] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:19:17:0987] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:19:17:0987] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:19:18:0487] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:20:0338] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:19:20:0338] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:19:20:0338] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[58499], devIP[c0a84809]
[2020-06-22 14:19:20:0839] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:21:0339] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:21:0339] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:19:21:0339] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:19:21:0840] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:22:0341] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:22:0341] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[58499], HostIp[c0a8017f], HostPort[58499]
[2020-06-22 14:19:22:0341] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:19:22:0341] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:19:22:0341] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:19:22:0841] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:24:0692] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:19:24:0692] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:19:24:0692] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[52753], devIP[c0a84809]
[2020-06-22 14:19:25:0194] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:25:0694] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:25:0694] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:19:25:0694] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:19:26:0195] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:26:0696] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:26:0696] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[52753], HostIp[c0a8017f], HostPort[52753]
[2020-06-22 14:19:26:0696] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:19:26:0696] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:19:26:0696] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:19:27:0196] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:29:0073] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:19:29:0074] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:19:29:0074] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[52896], devIP[c0a84809]
[2020-06-22 14:19:29:0574] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:30:0075] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:30:0075] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:19:30:0075] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:19:30:0576] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:31:0076] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:31:0076] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[52896], HostIp[c0a8017f], HostPort[52896]
[2020-06-22 14:19:31:0076] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:19:31:0076] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:19:31:0076] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:19:31:0577] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:33:0430] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:19:33:0430] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:19:33:0430] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[62289], devIP[c0a84809]
[2020-06-22 14:19:33:0931] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:34:0431] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:34:0431] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:19:34:0431] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:19:34:0932] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:35:0432] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:35:0432] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[62289], HostIp[c0a8017f], HostPort[62289]
[2020-06-22 14:19:35:0432] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:19:35:0432] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:19:35:0432] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:19:35:0933] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:37:0781] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:19:37:0781] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:19:37:0782] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[62431], devIP[c0a84809]
[2020-06-22 14:19:38:0283] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:38:0783] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:38:0783] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:19:38:0783] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:19:39:0284] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:39:0784] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:39:0784] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[62431], HostIp[c0a8017f], HostPort[62431]
[2020-06-22 14:19:39:0784] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:19:39:0784] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:19:39:0784] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:19:40:0284] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:42:0181] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:19:42:0181] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:19:42:0182] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[62561], devIP[c0a84809]
[2020-06-22 14:19:42:0683] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:43:0184] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:43:0184] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:19:43:0184] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:19:43:0685] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:44:0185] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:44:0185] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[62561], HostIp[c0a8017f], HostPort[62561]
[2020-06-22 14:19:44:0185] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:19:44:0185] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:19:44:0185] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:19:44:0685] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:46:0531] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:19:46:0531] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:19:46:0531] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[62718], devIP[c0a84809]
[2020-06-22 14:19:47:0031] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:47:0532] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:47:0532] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:19:47:0532] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:19:48:0032] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:48:0532] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:48:0532] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[62718], HostIp[c0a8017f], HostPort[62718]
[2020-06-22 14:19:48:0532] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:19:48:0532] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:19:48:0532] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:19:49:0033] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:24:55:0683] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:24:55:0683] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:24:55:0684] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[60261], devIP[c0a84809]
[2020-06-22 14:24:56:0184] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:24:56:0685] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:24:56:0685] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:24:56:0685] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:24:57:0186] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:24:57:0687] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:24:57:0687] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[60261], HostIp[c0a8017f], HostPort[60261]
[2020-06-22 14:24:57:0687] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:24:57:0687] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:24:57:0687] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:24:58:0187] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:00:0039] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:25:00:0039] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:25:00:0039] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[62199], devIP[c0a84809]
[2020-06-22 14:25:00:0540] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:01:0041] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:01:0041] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:25:01:0041] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:25:01:0541] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:02:0042] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:02:0042] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[62199], HostIp[c0a8017f], HostPort[62199]
[2020-06-22 14:25:02:0042] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:25:02:0042] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:25:02:0042] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:25:02:0543] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:04:0395] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:25:04:0395] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:25:04:0395] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[56919], devIP[c0a84809]
[2020-06-22 14:25:04:0897] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:05:0397] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:05:0397] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:25:05:0397] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:25:05:0898] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:06:0398] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:06:0398] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[56919], HostIp[c0a8017f], HostPort[56919]
[2020-06-22 14:25:06:0398] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:25:06:0398] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:25:06:0398] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:25:06:0899] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:08:0750] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:25:08:0750] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:25:08:0751] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[65500], devIP[c0a84809]
[2020-06-22 14:25:09:0252] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:09:0753] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:09:0753] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:25:09:0753] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:25:10:0254] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:10:0754] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:10:0754] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[65500], HostIp[c0a8017f], HostPort[65500]
[2020-06-22 14:25:10:0754] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:25:10:0754] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:25:10:0754] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:25:11:0255] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:13:0102] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:25:13:0102] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:25:13:0103] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[60746], devIP[c0a84809]
[2020-06-22 14:25:13:0603] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:14:0103] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:14:0103] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:25:14:0103] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:25:14:0604] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:15:0104] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:15:0104] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[60746], HostIp[c0a8017f], HostPort[60746]
[2020-06-22 14:25:15:0104] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:25:15:0104] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:25:15:0104] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:25:15:0605] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:19:0657] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:25:19:0657] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:25:19:0657] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[52685], devIP[c0a84809]
[2020-06-22 14:25:20:0159] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:20:0659] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:20:0659] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:25:21:0017] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:25:21:0517] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:22:0018] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:22:0018] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[52685], HostIp[c0a8017f], HostPort[52685]
[2020-06-22 14:25:22:0018] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:25:22:0019] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:25:22:0019] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:25:22:0519] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:24:0376] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:25:24:0376] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:25:24:0377] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[53566], devIP[c0a84809]
[2020-06-22 14:25:24:0878] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:25:25:0378] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
